INDEX,P_TARGET_FLAG
3,0.168540985
9,0.2311030048
10,0.2421892693
18,0.4236749839
21,0.3011520463
30,0.232502249
31,0.1805557646
37,0.3005929752
39,0.237627494
47,0.1505223481
60,0.2213708508
62,0.4363538199
63,0.4074744137
64,0.1708372197
68,0.236463442
75,0.2764590631
76,0.4876039704
83,0.1667703436
87,0.4063534423
92,0.3267972567
98,0.4710759019
106,0.1458465507
107,0.0750563201
113,0.2027328932
120,0.2180574473
123,0.2397146185
125,0.3771378341
126,0.2256947335
128,0.0435072337
129,0.0671363899
131,0.0915487304
135,0.3825665938
141,0.1268760657
147,0.1409703013
148,0.1598372091
151,0.1533409874
156,0.1815200562
157,0.2745770626
174,0.094476929
186,0.3819301299
193,0.1965214584
195,0.3423379568
212,0.1448263524
213,0.4304057182
217,0.0835417565
223,0.0947316718
226,0.0514258023
228,0.3992171975
230,0.1379015151
241,0.3083062046
243,0.0920951344
249,0.3794339066
281,0.6676564292
288,0.1096984261
294,0.6230172723
295,0.1514107205
300,0.3324215617
302,0.4102914556
303,0.0977286764
308,0.3000942912
319,0.0968955234
320,0.0485308744
324,0.4142018841
331,0.2698861545
343,0.0733043865
347,0.2321864999
348,0.635308131
350,0.551140107
357,0.14972424
358,0.2367628308
360,0.051775527
366,0.2985769576
367,0.52875556
368,0.2315252913
376,0.4856171185
380,0.2646993744
388,0.1589704704
396,0.4122068647
398,0.125101035
403,0.1474683196
410,0.3164754468
412,0.3775822093
420,0.3217232455
434,0.1429210389
440,0.3532408719
450,0.4097722086
453,0.2268532104
464,0.2801547669
465,0.0953726816
466,0.5226682738
473,0.127220756
476,0.2776127059
478,0.0486190615
479,0.1066559584
493,0.1804052414
497,0.1621973481
503,0.1221191711
504,0.2268296683
505,0.3562843225
507,0.1215196723
513,0.1753021065
519,0.2219772462
521,0.4546358494
522,0.5915316622
545,0.141385127
549,0.1131921052
551,0.1690738683
556,0.2796433724
557,0.279893781
559,0.215665787
560,0.5684911649
566,0.2279582928
569,0.1650409631
573,0.1165934696
578,0.3727559906
579,0.1264803985
582,0.1703982216
596,0.4078403968
598,0.6663078633
599,0.1786576031
602,0.4130312508
605,0.7081491145
617,0.3417871685
619,0.2503412673
630,0.2433555628
634,0.4229931609
643,0.1872656694
645,0.1573015837
647,0.169639135
649,0.1139762908
656,0.0579961505
657,0.2176427803
658,0.1305920532
667,0.1855842336
692,0.1507002028
693,0.2425232493
698,0.6606097168
699,0.552382494
700,0.1706779644
704,0.2611938301
707,0.0554336117
708,0.4308471208
709,0.1841634366
713,0.1011304195
714,0.0858996251
716,0.4704506181
718,0.1385320729
722,0.1705370907
729,0.4289560068
731,0.0541852829
733,0.6694348399
746,0.2859534081
747,0.5221223209
748,0.3143447025
753,0.2198678313
757,0.624197912
763,0.2660905603
767,0.0983112908
774,0.4827922293
776,0.4844132808
788,0.1845112198
794,0.0627918007
799,0.1434066186
803,0.1251428964
806,0.9115106075
807,0.1552100586
811,0.2955199321
816,0.1385573625
818,0.2361107022
819,0.1205698465
831,0.1187393396
835,0.3383066025
837,0.1810484418
841,0.7229850408
846,0.1528266085
856,0.3585465353
861,0.4147354068
862,0.4795540384
863,0.7300520924
865,0.4023427382
871,0.4439642123
879,0.3545546706
880,0.0765926333
881,0.2477869478
885,0.2884649287
887,0.2057532665
892,0.0658277831
898,0.0667074183
900,0.1678240372
904,0.3755163752
