INDEX,P_TARGET_AMT
3,1793.6172065
9,2226.0314408
10,981.370511
18,1484.0434257
21,2877.4091073
30,1453.5479678
31,880.02583703
37,1990.6060948
39,1034.7390352
47,1727.6990598
60,1376.6976815
62,1514.2362701
63,1865.8191833
64,1720.5485471
68,962.14813854
75,2157.7951261
76,3752.3892244
83,980.48832793
87,1951.7334949
92,2097.9413527
98,2759.5914918
106,1183.5287679
107,1481.2505273
113,1283.4689164
120,1913.7576511
123,1224.7410805
125,2305.2116333
126,1881.5680858
128,671.57630945
129,146.66310242
131,482.35879298
135,1767.6427996
141,1556.4776498
147,928.84544819
148,1073.6278264
151,1368.9022144
156,1592.4278327
157,1770.2976407
174,784.68898154
186,3267.0534433
193,1241.8514775
195,1844.8818262
212,1024.2730823
213,2600.4278873
217,710.79882151
223,461.8535052
226,666.26165266
228,2174.0100687
230,1098.265714
241,871.68523599
243,280.4079535
249,2817.830559
281,3785.6252306
288,1333.5414168
294,3673.5544187
295,304.9470539
300,2476.6036853
302,2898.097995
303,825.30244664
308,1364.6565175
319,801.27416563
320,731.39560427
324,1956.4523341
331,3003.429342
343,590.3753437
347,1833.8765494
348,3710.8730607
350,3335.7218729
357,860.67538266
358,1220.2676802
360,705.46958537
366,2327.1972894
367,3073.1628246
368,1240.3474669
376,2984.0489606
380,2317.6287533
388,1692.2235831
396,2736.549785
398,1044.3292428
403,1258.3154377
410,1704.8767208
412,2557.1477599
420,2053.108715
434,1431.6937694
440,1003.5095455
450,2548.716555
453,899.12072049
464,1450.7898838
465,859.08216165
466,3251.6539878
473,1118.9377327
476,2325.1582665
478,291.66105139
479,1597.3502897
493,987.94705156
497,1514.1245057
503,1040.5539088
504,1269.97771
505,1685.1710671
507,1038.7532761
513,1455.5951586
519,1277.664261
521,2697.386733
522,1817.8943784
545,1298.8745712
549,778.61321734
551,928.28644608
556,1197.985623
557,2124.4193062
559,1284.3896122
560,1959.9118308
566,1706.6606672
569,1904.5643666
573,1904.8574875
578,1825.9560605
579,1011.9967374
582,1805.1875536
596,3246.7689135
598,2916.2703604
599,1790.9093604
602,1591.941347
605,3504.4927791
617,1021.0805165
619,1584.120109
630,2170.6830029
634,2926.0179091
643,1188.382764
645,1401.2482891
647,2209.7706331
649,2.3862075904
656,127.5606093
657,1221.1274321
658,658.3179637
667,930.34974051
692,1796.7824044
693,2506.7945208
698,3374.9751109
699,1568.3053526
700,792.21558542
704,1634.7223169
707,748.89741953
708,2564.8245056
709,1269.4876676
713,746.35509523
714,756.62603207
716,3670.0769773
718,1014.3857021
722,1203.954453
729,3195.0789342
731,-33.31035958
733,4151.3711205
746,2462.5641585
747,3299.8794131
748,1322.8198745
753,1851.539623
757,2759.6412419
763,2208.7716013
767,838.86383661
774,3003.4725763
776,2949.6319758
788,1679.4727756
794,722.35611468
799,1115.3861904
803,1554.3385986
806,4920.9061735
807,1230.5624593
811,2016.6887375
816,997.88496528
818,995.79398634
819,1013.9773965
831,1136.9661453
835,2088.8561354
837,1722.8504254
841,3261.7729063
846,1216.6903984
856,1611.6553167
861,2559.467243
862,2674.7377995
863,2480.8539189
865,2607.2805136
871,2508.4275916
879,1293.6392751
880,620.32544314
881,1455.9494442
885,2213.2148464
887,1497.4192535
892,463.92788572
898,499.62211314
900,1014.4723981
904,3407.8337267
906,2557.8916412
910,3086.5871679
912,795.187293
913,1287.213919
919,1017.9611801
924,1396.372846
925,1177.695999
930,853.6633549
940,1958.8463779
941,1100.9115839
946,1008.1715065
949,848.43530951
951,582.18621813
962,1310.6239258
966,1393.7279155
967,809.15082109
971,2510.6096469
981,2053.8498256
982,1311.356223
983,972.85843078
984,205.80681672
989,1600.8742053
990,2643.6223365
992,2659.8603571
995,948.02980372
996,1920.0221916
998,1643.583534
1001,1347.0117186
1007,692.14724261
1008,-428.6249665
1016,1461.5783262
1022,572.11663967
1027,1783.6122924
1032,2284.894228
1033,901.92963358
1041,2226.5044072
1065,907.09184063
1074,2544.4125163
1075,1084.2115702
1081,1404.4381779
1094,394.3771003
1099,2047.3229243
1105,2796.7557424
1123,677.10768687
1135,356.31247806
1142,1543.5829021
1155,606.65166266
1169,1408.0711406
1176,579.89066634
1178,2490.5559894
1180,1279.0738095
1184,1330.3827398
1185,2935.9454105
1193,1252.8673439
1196,1520.1968031
1199,1712.68503
1203,2422.2483094
1205,1529.2766652
