INDEX,P_TARGET_FLAG
3,0.5592760848
9,0.5783814161
10,0.5798001005
18,0.6123896105
21,0.6001524697
30,0.5830575131
31,0.5714572928
37,0.6009060325
39,0.6189750249
47,0.5723207608
60,0.5862321018
62,0.6241626798
63,0.6142808896
64,0.564062403
68,0.5844387786
75,0.593644131
76,0.6413915784
83,0.5742215782
87,0.6270968446
92,0.5962981197
98,0.6164807374
106,0.546541741
107,0.5640472124
113,0.5673665011
120,0.5694216558
123,0.5877951715
125,0.6163905439
126,0.6274984662
128,0.5186649113
129,0.5624533936
131,0.5633224948
135,0.5987348133
141,0.5620925995
147,0.5734261338
148,0.5498339973
151,0.5601334671
156,0.5705692342
157,0.6013276358
174,0.5282448983
186,0.6204714114
193,0.5729125828
195,0.6102638353
212,0.5648857706
213,0.6271106139
217,0.5269483705
223,0.5615324372
226,0.5274126948
228,0.6358876654
230,0.5623685788
241,0.6020328583
243,0.5452989326
249,0.61040762
281,0.6688576559
288,0.5442031157
294,0.6536655386
295,0.5785988234
300,0.6265089875
302,0.6089046276
303,0.538910531
308,0.5979879884
319,0.5322260352
320,0.5234062539
324,0.620012198
331,0.6028916609
343,0.5297136438
347,0.5732216416
348,0.6560679633
350,0.6418525156
357,0.5515201763
358,0.5930196471
360,0.5134381576
366,0.5909270227
367,0.6288590439
368,0.5673871068
376,0.6473941166
380,0.5874470971
388,0.5733141911
396,0.6104464731
398,0.5544406223
403,0.559321937
410,0.5997837166
412,0.6033734739
420,0.6130918134
434,0.5661424409
440,0.5976400711
450,0.6243361752
453,0.5831048173
464,0.5892676776
465,0.5338240997
466,0.6452848507
473,0.5604689937
476,0.5828655156
478,0.5416900708
479,0.555302873
493,0.5739532764
497,0.5755295456
503,0.5393889031
504,0.5667246202
505,0.6179501868
507,0.5635051756
513,0.5512244635
519,0.5823640385
521,0.6372614541
522,0.6753403769
545,0.5637335743
549,0.5505661202
551,0.5596413051
556,0.5855776736
557,0.5855908812
559,0.5996927567
560,0.6338993629
566,0.580659909
569,0.5845062739
573,0.5588314806
578,0.6090098653
579,0.5484867609
582,0.6112596028
596,0.6063981641
598,0.6586746017
599,0.5674434627
602,0.6007705832
605,0.6608699911
617,0.5959649241
619,0.5867486338
630,0.6078390124
634,0.6071744727
643,0.5826572862
645,0.5669198012
647,0.5685414637
649,0.5693275402
656,0.5592684397
657,0.5852792158
658,0.568737
667,0.5706417848
692,0.60243323
693,0.5961417846
698,0.6545628036
699,0.6592282257
700,0.5744757618
704,0.5774423926
707,0.516666219
708,0.6128354111
709,0.5575989691
713,0.5325197883
714,0.5379490381
716,0.6221116657
718,0.5466978761
722,0.5545933376
729,0.6333898242
731,0.5281536626
733,0.6549929663
746,0.6088643124
747,0.6426994747
748,0.591210386
753,0.5734730108
757,0.6459819175
763,0.6040404337
767,0.545763812
774,0.6246526055
776,0.6248010101
788,0.5690473571
794,0.5735738961
799,0.5522737065
803,0.5559398306
806,0.7277119155
807,0.5578186806
811,0.6011972169
816,0.5755506088
818,0.5905436249
819,0.5421230258
831,0.5558423407
835,0.6031272823
837,0.5822774643
841,0.6886482272
846,0.5753938239
856,0.6039152839
861,0.6246218385
862,0.6311440592
863,0.6760025951
865,0.6348601157
871,0.6263964435
879,0.6195551434
880,0.5475856137
881,0.5791220458
885,0.6160462003
887,0.5655234606
892,0.5306488429
898,0.5335149922
900,0.5684266055
904,0.6284958541
906,0.5994483529
910,0.6199540402
912,0.6175564641
913,0.5934775303
919,0.5440715014
924,0.5702114884
925,0.5596870181
930,0.5742393135
940,0.590488855
941,0.5502533213
946,0.5850418334
949,0.6123690567
951,0.5722381698
962,0.5818472374
966,0.5722794675
967,0.5419513618
971,0.6311328545
981,0.6167309609
982,0.5797861035
983,0.5294708738
984,0.5200582076
989,0.5923588791
990,0.6308133903
992,0.636727403
995,0.5532578393
996,0.6081249983
998,0.5740350099
1001,0.5696821865
1007,0.5610934012
1008,0.5465509171
1016,0.5720705443
1022,0.5325827341
1027,0.6180960179
1032,0.6111440388
1033,0.5497320965
1041,0.6020365441
1065,0.6248594351
1074,0.6338554001
1075,0.5754224768
1081,0.5606420201
1094,0.5389479108
1099,0.6131770005
1105,0.6651166402
1123,0.5895908132
1135,0.5298308002
1142,0.56847411
1155,0.5590873834
1169,0.5790270017
1176,0.5190808279
1178,0.6676773915
1180,0.5681161195
1184,0.5495838397
1185,0.6400075945
1193,0.5862350889
1196,0.569266307
1199,0.5797384992
1203,0.5896799049
1205,0.5661688138
1207,0.5589910336
1208,0.6566288834
1212,0.5960660239
1213,0.6396926089
1222,0.5500814104
1223,0.5766723198
1226,0.5682152645
1227,0.6037385532
1229,0.5358850473
1230,0.5869198712
1231,0.6114169631
1241,0.5906900625
1243,0.560127526
1244,0.5338984495
1246,0.5401954908
1248,0.5571490263
1249,0.6032860724
1252,0.5408280016
1261,0.5471995562
1275,0.5412330593
1281,0.6689082559
1285,0.5669800787
1288,0.5945936316
1290,0.5512757487
1291,0.5654896563
1304,0.6530053808
1305,0.5412284446
1323,0.6217775788
1342,0.6187409258
1348,0.5686175232
1353,0.5650191562
1363,0.5443332698
1371,0.6462721771
1372,0.6008988662
1378,0.567394427
1381,0.5638117387
1382,0.5780301026
1393,0.59715108
1394,0.5837599028
1398,0.5846418259
1404,0.6032518235
1405,0.6523123637
1419,0.5992671079
1421,0.5361422696
1426,0.5897279565
1431,0.5908271927
1435,0.6081616825
1437,0.5637133454
1438,0.5769237623
1442,0.5914175932
1464,0.5608909329
1471,0.5752579404
1473,0.5678802193
1476,0.5681878281
1478,0.561212573
1479,0.6449260134
1487,0.5742695829
1492,0.5870461599
1496,0.5548021163
1497,0.5762043222
1515,0.5474726433
1519,0.5625814049
1522,0.6408239452
1526,0.5643595533
1537,0.5246683584
1538,0.6738888984
1540,0.5763309471
1543,0.5778294166
1548,0.5748816499
1549,0.5570231693
1556,0.6469726047
1564,0.5766971883
1570,0.616556213
1577,0.6163260167
1585,0.5791805696
1590,0.5798206549
1592,0.6678177354
